,Vehicle Id,Vehicle Model Year,Vehicle Make,Vehicle Model,Vehicle Price,Vendor Id,Category Id
0,0,2020,KIA,Soul,141615,4,1
1,1,2021,RIVIAN,R1T,367973,5,2
2,2,2022,RIVIAN,R1S,100948,5,2
3,3,2023,Audi,A7,174344,2,2
4,4,2020,KIA,SPORTAGE,366435,4,2
5,5,2023,BMW,X5,111108,3,2
6,6,2023,Audi,A3,165052,2,2
7,7,2024,KIA,Soul,355406,4,2
8,8,2024,Tesla,MODEL Y,158956,1,1
9,9,2020,RIVIAN,R1S,469133,5,1
10,10,2024,RIVIAN,R1S,291441,5,1
11,11,2020,Others,Others,173988,8,2
12,12,2022,TOYOTA,BZ4X,414519,6,2
13,13,2022,Others,Others,146859,8,1
14,14,2022,Audi,Q5,228276,2,2
15,15,2024,RIVIAN,EDV,198862,5,1
16,16,2021,BMW,720E,332886,3,1
17,17,2024,Tesla,MODEL X,106175,1,1
18,18,2021,RIVIAN,R1T,124843,5,2
19,19,2022,RIVIAN,R1T,493779,5,1
20,20,2023,RIVIAN,R1T,235583,5,1
21,21,2023,LUCID,AIR,263538,7,1
22,22,2024,LUCID,AIR,347445,7,1
23,23,2022,TOYOTA,RAV4,160998,6,1
24,24,2024,KIA,Soul,479588,4,1
25,25,2021,Others,Others,365270,8,2
26,26,2023,LUCID,AIR,340437,7,1
27,27,2022,KIA,Soul,325091,4,2
28,28,2020,Audi,A3,232629,2,2
29,29,2021,KIA,SPORTAGE,273041,4,1
30,30,2022,LUCID,AIR,109140,7,1
31,31,2024,LUCID,AIR,146590,7,1
32,32,2022,LUCID,AIR,138202,7,2
33,33,2022,BMW,XM,231505,3,1
34,34,2022,Tesla,MODEL X,120697,1,1
35,35,2023,Audi,Q4,134423,2,1
36,36,2022,Audi,Q4,483640,2,2
37,37,2024,LUCID,AIR,452000,7,1
38,38,2021,KIA,EV9,194773,4,2
39,39,2024,LUCID,AIR,316579,7,2
40,40,2023,Others,Others,120907,8,2
41,41,2023,TOYOTA,BZ4X,122411,6,2
42,42,2022,Tesla,MODEL X,414753,1,1
43,43,2023,Tesla,MODEL X,112074,1,1
44,44,2023,BMW,X5,477274,3,2
45,45,2020,TOYOTA,RAV4,315126,6,1
46,46,2020,Others,Others,343531,8,1
47,47,2020,Tesla,MODEL X,199689,1,1
48,48,2021,TOYOTA,PRIUS,356459,6,2
49,49,2024,Others,Others,220350,8,1
50,50,2024,Tesla,MODEL 3,124237,1,1
51,51,2023,LUCID,AIR,437248,7,2
52,52,2023,RIVIAN,R1S,444135,5,2
53,53,2022,RIVIAN,EDV,462029,5,1
54,54,2020,KIA,OPTIMA,495768,4,2
55,55,2022,RIVIAN,R1T,394134,5,2
56,56,2023,Tesla,MODEL 3,283270,1,2
57,57,2021,Tesla,MODEL X,405553,1,1
58,58,2020,RIVIAN,R1T,359274,5,2
59,59,2022,BMW,530E,195897,3,1
60,60,2020,BMW,XM,456470,3,2
61,61,2021,Tesla,MODEL X,177697,1,1
62,62,2020,RIVIAN,R1S,329202,5,2
63,63,2020,TOYOTA,BZ4X,422629,6,2
64,64,2024,LUCID,AIR,121204,7,1
65,65,2023,TOYOTA,BZ4X,194835,6,1
66,66,2020,RIVIAN,EDV,300646,5,1
67,67,2023,Others,Others,330673,8,2
68,68,2021,KIA,SPORTAGE,148600,4,2
69,69,2024,RIVIAN,R1S,211728,5,2
70,70,2022,Others,Others,200243,8,1
71,71,2021,KIA,Soul,297710,4,2
72,72,2024,LUCID,AIR,389060,7,2
73,73,2020,KIA,Soul,295908,4,1
74,74,2023,LUCID,AIR,133545,7,2
75,75,2020,TOYOTA,PRIUS,337512,6,2
76,76,2023,BMW,XM,107552,3,1
77,77,2023,Others,Others,102483,8,1
78,78,2020,Audi,Q5,438494,2,2
79,79,2022,BMW,720E,183844,3,1
80,80,2023,RIVIAN,R1T,233109,5,2
81,81,2023,Tesla,MODEL 3,485731,1,1
82,82,2020,TOYOTA,PRIUS,372758,6,1
83,83,2021,Tesla,MODEL Y,183431,1,1
84,84,2020,TOYOTA,BZ4X,406339,6,1
85,85,2023,RIVIAN,R1T,361239,5,2
86,86,2024,Audi,E-TRON,103031,2,2
87,87,2020,Others,Others,242205,8,1
88,88,2022,BMW,530E,107091,3,2
89,89,2022,LUCID,AIR,198598,7,2
90,90,2023,TOYOTA,RAV4,364792,6,1
91,91,2022,Audi,Q4,337703,2,1
92,92,2020,TOYOTA,RAV4,109840,6,1
93,93,2023,Others,Others,372309,8,2
94,94,2021,RIVIAN,R1T,180974,5,1
95,95,2022,Tesla,MODEL S,314097,1,1
96,96,2020,Audi,Q4,181813,2,2
97,97,2022,LUCID,AIR,199708,7,2
98,98,2020,BMW,X5,145124,3,2
99,99,2022,TOYOTA,PRIUS,323553,6,1
100,100,2024,BMW,720E,220905,3,1
101,101,2020,Others,Others,371641,8,2
102,102,2023,BMW,530E,327921,3,1
103,103,2024,LUCID,AIR,279933,7,2
104,104,2020,KIA,EV9,313605,4,1
105,105,2024,BMW,X5,272927,3,1
106,106,2024,Tesla,MODEL S,101558,1,1
107,107,2023,TOYOTA,PRIUS,162256,6,2
108,108,2024,KIA,SPORTAGE,251071,4,2
109,109,2024,Tesla,MODEL 3,213166,1,2
110,110,2024,RIVIAN,R1T,340104,5,2
111,111,2023,TOYOTA,BZ4X,451871,6,1
112,112,2023,BMW,X5,439686,3,2
113,113,2021,Others,Others,279845,8,1
114,114,2022,Others,Others,379520,8,1
115,115,2020,LUCID,AIR,411044,7,2
116,116,2022,BMW,720E,332067,3,1
117,117,2021,Tesla,MODEL Y,376269,1,2
118,118,2024,BMW,X5,239763,3,1
119,119,2021,BMW,XM,162687,3,1
120,120,2023,BMW,X5,460776,3,2
121,121,2020,Others,Others,479229,8,1
122,122,2021,LUCID,AIR,448324,7,2
123,123,2020,BMW,XM,102192,3,2
124,124,2021,Audi,Q5,214184,2,1
125,125,2022,BMW,XM,167505,3,2
126,126,2022,Others,Others,417078,8,2
127,127,2022,BMW,XM,403474,3,1
128,128,2020,RIVIAN,R1T,263055,5,1
129,129,2023,Others,Others,494555,8,2
130,130,2023,BMW,530E,431939,3,2
131,131,2021,Tesla,MODEL X,171320,1,2
132,132,2021,RIVIAN,EDV,184424,5,2
133,133,2023,BMW,720E,159546,3,1
134,134,2024,Others,Others,309550,8,1
135,135,2023,RIVIAN,R1T,243543,5,1
136,136,2023,TOYOTA,PRIUS,251474,6,2
137,137,2024,Audi,Q4,171812,2,1
138,138,2023,Tesla,MODEL S,336334,1,1
139,139,2021,TOYOTA,PRIUS,473198,6,2
140,140,2021,Tesla,MODEL Y,428517,1,1
141,141,2021,Audi,Q4,481120,2,2
142,142,2023,BMW,X5,383202,3,2
143,143,2024,LUCID,AIR,114301,7,2
144,144,2024,LUCID,AIR,120382,7,1
145,145,2023,RIVIAN,R1T,222863,5,2
146,146,2024,LUCID,AIR,434075,7,1
147,147,2020,LUCID,AIR,336381,7,2
148,148,2022,Audi,A3,329388,2,2
149,149,2024,BMW,720E,208412,3,2
150,150,2022,KIA,EV9,249597,4,2
151,151,2023,Tesla,MODEL S,177208,1,2
152,152,2022,TOYOTA,PRIUS,449229,6,1
153,153,2023,KIA,EV9,223721,4,2
154,154,2024,KIA,SPORTAGE,152940,4,2
155,155,2021,KIA,OPTIMA,288389,4,2
156,156,2022,Others,Others,177336,8,2
157,157,2020,TOYOTA,PRIUS,153099,6,1
158,158,2023,BMW,XM,179821,3,2
159,159,2022,RIVIAN,R1T,205651,5,1
160,160,2022,RIVIAN,R1T,180640,5,2
161,161,2021,Others,Others,158001,8,2
162,162,2021,BMW,X5,463159,3,2
163,163,2020,KIA,OPTIMA,413647,4,1
164,164,2020,KIA,EV9,355243,4,2
165,165,2020,Others,Others,289022,8,2
166,166,2023,LUCID,AIR,117900,7,1
167,167,2022,TOYOTA,RAV4,446559,6,2
168,168,2022,Audi,E-TRON,294096,2,1
169,169,2022,LUCID,AIR,362261,7,2
170,170,2020,Audi,A7,339339,2,2
171,171,2021,Audi,Q4,264099,2,2
172,172,2024,TOYOTA,PRIUS,103607,6,2
173,173,2024,TOYOTA,PRIUS,448174,6,1
174,174,2023,Others,Others,473780,8,1
175,175,2021,KIA,EV9,149044,4,1
176,176,2024,Audi,A7,480889,2,1
177,177,2023,BMW,X5,317758,3,1
178,178,2024,TOYOTA,RAV4,422819,6,2
179,179,2022,KIA,SPORTAGE,203104,4,1
180,180,2020,Others,Others,336034,8,1
181,181,2022,KIA,SPORTAGE,417421,4,1
182,182,2023,BMW,X5,223281,3,2
183,183,2023,Others,Others,484380,8,2
184,184,2022,KIA,EV9,399172,4,2
185,185,2021,RIVIAN,EDV,242276,5,1
186,186,2023,Tesla,MODEL 3,420919,1,1
187,187,2024,LUCID,AIR,342748,7,1
188,188,2024,Audi,Q4,204702,2,2
189,189,2022,TOYOTA,BZ4X,226172,6,1
190,190,2021,LUCID,AIR,276817,7,2
191,191,2023,TOYOTA,BZ4X,447751,6,2
192,192,2021,Audi,E-TRON,331444,2,2
193,193,2020,LUCID,AIR,318834,7,1
194,194,2022,TOYOTA,RAV4,162231,6,2
195,195,2024,Others,Others,436251,8,2
196,196,2021,KIA,Soul,241977,4,2
197,197,2023,BMW,720E,421802,3,1
198,198,2020,KIA,Soul,378071,4,1
199,199,2020,RIVIAN,R1S,388095,5,2
200,200,2020,Others,Others,214365,8,2
201,201,2024,Tesla,MODEL S,141913,1,2
202,202,2023,RIVIAN,R1S,480171,5,2
203,203,2020,Audi,A3,242281,2,1
204,204,2020,TOYOTA,BZ4X,198057,6,2
205,205,2022,Others,Others,172247,8,1
206,206,2020,Audi,A7,251435,2,1
207,207,2023,TOYOTA,BZ4X,157014,6,2
208,208,2020,Tesla,MODEL S,238747,1,1
209,209,2020,Audi,A3,477071,2,1
210,210,2021,BMW,720E,424775,3,2
211,211,2023,RIVIAN,R1T,286270,5,2
212,212,2023,Audi,Q4,271730,2,1
213,213,2022,RIVIAN,EDV,223896,5,2
214,214,2021,RIVIAN,R1T,375478,5,1
215,215,2021,Audi,E-TRON,411039,2,2
216,216,2023,Others,Others,111880,8,2
217,217,2022,Others,Others,222418,8,1
218,218,2023,TOYOTA,PRIUS,380146,6,1
219,219,2022,Tesla,MODEL 3,422065,1,2
220,220,2021,Others,Others,281086,8,1
221,221,2023,BMW,720E,417847,3,2
222,222,2024,TOYOTA,BZ4X,411393,6,1
223,223,2023,Others,Others,315467,8,1
224,224,2020,TOYOTA,BZ4X,140876,6,2
225,225,2021,BMW,720E,437172,3,2
226,226,2021,Others,Others,270151,8,1
227,227,2023,KIA,EV9,301041,4,2
228,228,2020,Tesla,MODEL Y,137547,1,2
229,229,2020,KIA,EV9,418800,4,2
230,230,2023,LUCID,AIR,180166,7,1
231,231,2020,TOYOTA,RAV4,431699,6,1
232,232,2021,LUCID,AIR,186479,7,2
233,233,2024,Others,Others,312840,8,2
234,234,2024,Audi,A3,270082,2,2
235,235,2021,RIVIAN,EDV,205339,5,2
236,236,2023,BMW,XM,130636,3,1
237,237,2024,BMW,530E,341289,3,1
238,238,2021,TOYOTA,RAV4,449675,6,2
